Month,NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
january,ARMATAGE,5,0,0,0,1,1,2,1,0
january,"AUDUBON PARK",11,0,0,0,2,7,1,1,0
january,BANCROFT,12,0,1,1,0,6,2,2,0
january,BELTRAMI,3,0,0,0,1,0,1,1,0
january,BOTTINEAU,5,0,0,0,0,2,2,1,0
january,BRYANT,10,0,0,2,0,2,4,2,0
january,"BRYN - MAWR",3,0,0,0,0,0,3,0,0
january,"CAMDEN INDUSTRIAL",4,0,0,1,0,1,2,0,0
january,CARAG,13,0,1,0,1,2,9,0,0
january,"CEDAR - ISLES - DEAN",6,0,0,0,0,0,6,0,0
january,"CEDAR RIVERSIDE",30,0,1,1,1,3,16,8,0
january,CENTRAL,34,0,1,3,4,11,12,3,0
january,CLEVELAND,15,0,0,1,6,4,4,0,0
january,"COLUMBIA PARK",2,0,0,0,0,1,1,0,0
january,COMO,13,0,0,0,2,1,9,1,0
january,COOPER,4,0,0,0,1,1,2,0,0
january,CORCORAN,27,0,1,3,1,11,11,0,0
january,"DIAMOND LAKE",9,0,0,1,1,3,4,0,0
january,"DOWNTOWN EAST",6,0,0,0,0,1,4,1,0
january,"DOWNTOWN WEST",227,0,3,12,10,13,185,4,0
january,"EAST HARRIET",4,0,0,0,0,1,3,0,0
january,"EAST ISLES",10,0,0,0,0,1,9,0,0
january,"EAST PHILLIPS",21,0,2,4,4,3,4,4,0
january,ECCO,18,0,0,2,0,4,11,1,0
january,"ELLIOT PARK",33,0,0,2,5,2,20,4,0
january,ERICSSON,9,0,0,0,0,3,6,0,0
january,FIELD,2,0,0,0,0,1,0,1,0
january,FOLWELL,44,0,1,7,6,18,10,2,0
january,FULTON,8,0,0,0,0,2,6,0,0
january,HALE,2,0,0,0,0,2,0,0,0
january,HARRISON,15,0,0,2,0,3,5,4,1
january,HAWTHORNE,38,0,0,6,7,3,15,7,0
january,HIAWATHA,16,0,0,0,0,8,8,0,0
january,HOLLAND,14,0,0,0,1,4,6,3,0
january,HOWE,9,0,0,1,1,3,4,0,0
january,"HUMBOLDT INDUSTRIAL AREA",1,0,0,0,1,0,0,0,0
january,JORDAN,56,0,0,4,11,13,23,5,0
january,KEEWAYDIN,6,0,0,0,0,2,4,0,0
january,KENNY,1,0,0,0,0,1,0,0,0
january,"KING FIELD",17,1,0,0,0,10,5,1,0
january,"LIND - BOHANON",18,0,0,2,2,6,4,4,0
january,"LINDEN HILLS",8,0,0,0,0,2,6,0,0
january,"LOGAN PARK",7,0,0,0,1,0,6,0,0
january,LONGFELLOW,37,0,0,0,3,7,25,1,1
january,"LORING PARK",30,0,0,2,4,2,21,1,0
january,"LOWRY HILL",3,0,0,0,0,0,3,0,0
january,"LOWRY HILL EAST",34,0,0,1,0,3,26,4,0
january,LYNDALE,22,0,0,2,1,4,11,4,0
january,LYNNHURST,8,0,0,0,1,5,2,0,0
january,"MARCY HOLMES",26,0,2,2,0,3,16,3,0
january,"MARSHALL TERRACE",1,0,0,0,0,1,0,0,0
