NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,3,0,0,0,0,2,1,0,0
"AUDUBON PARK",6,0,1,1,0,2,1,1,0
BANCROFT,11,0,0,1,1,5,3,0,1
BELTRAMI,6,0,0,0,0,1,4,1,0
BOTTINEAU,10,0,0,0,0,0,9,1,0
BRYANT,7,0,0,2,1,1,3,0,0
"BRYN - MAWR",14,0,0,0,0,2,10,2,0
CARAG,27,0,0,2,0,5,18,2,0
"CEDAR - ISLES - DEAN",9,0,0,0,1,3,5,0,0
"CEDAR RIVERSIDE",20,0,2,3,0,2,11,2,0
CENTRAL,23,0,0,4,2,2,15,0,0
CLEVELAND,12,0,0,2,1,3,4,2,0
"COLUMBIA PARK",5,0,0,0,1,2,2,0,0
COMO,10,0,1,0,0,2,5,2,0
COOPER,8,0,0,2,1,2,2,1,0
CORCORAN,28,0,0,1,4,7,16,0,0
"DIAMOND LAKE",10,0,0,0,0,4,5,1,0
"DOWNTOWN EAST",7,0,0,0,0,1,6,0,0
"DOWNTOWN WEST",231,0,3,12,6,7,193,10,0
"EAST HARRIET",4,0,0,0,0,1,3,0,0
"EAST ISLES",12,0,0,1,1,3,6,1,0
"EAST PHILLIPS",31,0,0,9,4,5,12,1,0
ECCO,14,0,0,1,0,2,11,0,0
"ELLIOT PARK",29,0,0,1,7,4,16,1,0
ERICSSON,7,0,0,1,1,3,1,1,0
FIELD,13,0,0,0,0,10,3,0,0
FOLWELL,34,0,0,3,9,10,7,5,0
FULTON,5,0,0,0,1,2,2,0,0
HALE,2,0,0,0,0,0,1,1,0
HARRISON,12,0,0,0,1,5,2,2,2
HAWTHORNE,35,0,0,4,8,7,11,5,0
HIAWATHA,15,0,0,0,0,3,12,0,0
HOLLAND,25,0,2,2,3,4,10,4,0
HOWE,17,0,0,0,0,9,8,0,0
JORDAN,40,0,0,5,9,4,18,4,0
KEEWAYDIN,10,0,0,1,0,1,7,0,1
KENNY,3,0,0,0,1,1,1,0,0
KENWOOD,2,0,0,0,0,1,1,0,0
"KING FIELD",10,0,0,0,0,6,4,0,0
"LIND - BOHANON",29,0,0,2,6,8,10,3,0
"LINDEN HILLS",4,0,0,0,0,1,3,0,0
"LOGAN PARK",5,0,0,0,0,0,5,0,0
LONGFELLOW,39,2,1,1,1,7,25,2,0
"LORING PARK",37,0,0,2,2,3,26,4,0
"LOWRY HILL",12,0,0,0,0,1,11,0,0
"LOWRY HILL EAST",31,0,0,1,0,4,23,3,0
LYNDALE,31,0,1,5,5,4,15,1,0
"MARCY HOLMES",35,0,1,1,2,4,18,9,0
"MARSHALL TERRACE",6,0,0,0,0,1,4,1,0
MCKINLEY,22,0,0,4,0,7,8,3,0
"MID - CITY INDUSTRIAL",9,0,0,0,1,2,4,2,0
"MIDTOWN PHILLIPS",31,0,1,5,1,3,20,1,0
MINNEHAHA,15,0,0,1,1,1,11,1,0
"MORRIS PARK",2,0,0,0,0,1,1,0,0
"NEAR - NORTH",51,1,3,3,6,8,23,6,1
"NICOLLET ISLAND - EAST BANK",13,0,0,2,0,0,9,2,0
"NORTH LOOP",36,0,0,1,5,1,25,4,0
"NORTHEAST PARK",9,0,0,0,1,2,5,1,0
NORTHROP,5,0,0,0,0,1,4,0,0
PAGE,4,0,0,0,0,1,3,0,0
"PHILLIPS WEST",25,0,0,4,3,3,13,2,0
"POWDERHORN PARK",35,0,2,9,4,5,13,2,0
"PROSPECT PARK - EAST RIVER ROAD",26,0,0,1,0,2,10,13,0
REGINA,6,0,0,1,0,2,3,0,0
SEWARD,36,0,1,4,2,10,17,2,0
SHERIDAN,7,0,0,0,1,0,5,1,0
"SHINGLE CREEK",7,0,0,1,1,1,4,0,0
"ST. ANTHONY EAST",2,0,0,0,0,0,2,0,0
"ST. ANTHONY WEST",8,0,0,3,0,3,2,0,0
STANDISH,19,0,0,2,0,12,5,0,0
"STEVENS SQUARE - LORING HEIGHTS",12,0,0,1,3,1,7,0,0
"SUMNER - GLENWOOD",4,0,0,1,3,0,0,0,0
TANGLETOWN,11,0,0,1,1,4,5,0,0
"UNIVERSITY OF MINNESOTA",6,0,0,0,0,1,4,1,0
"VENTURA VILLAGE",41,0,1,10,0,7,18,4,1
VICTORY,14,0,1,0,0,8,4,1,0
"WAITE PARK",10,0,0,1,1,3,4,1,0
"WEBBER - CAMDEN",23,0,0,2,4,9,7,1,0
WENONAH,6,0,1,2,0,0,3,0,0
"WEST CALHOUN",2,0,0,0,0,0,2,0,0
WHITTIER,64,0,2,9,2,10,39,1,1
"WILLARD - HAY",36,0,1,4,10,6,11,4,0
WINDOM,9,0,0,0,2,1,6,0,0
"WINDOM PARK",5,0,0,1,0,2,2,0,0
