NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,1,0,0,0,0,1,0,0,0
"AUDUBON PARK",9,0,0,0,0,2,6,1,0
BANCROFT,7,0,0,0,1,5,1,0,0
BELTRAMI,3,0,0,0,0,1,2,0,0
BOTTINEAU,1,0,0,0,0,1,0,0,0
BRYANT,6,0,0,0,0,2,3,1,0
"BRYN - MAWR",3,0,0,0,0,0,2,1,0
"CAMDEN INDUSTRIAL",1,0,0,0,0,0,1,0,0
CARAG,12,0,0,0,0,1,11,0,0
"CEDAR - ISLES - DEAN",6,0,0,0,0,0,6,0,0
"CEDAR RIVERSIDE",16,0,1,1,1,2,9,2,0
CENTRAL,27,0,0,5,2,3,14,3,0
CLEVELAND,9,0,0,5,0,0,2,2,0
"COLUMBIA PARK",3,0,0,0,0,2,0,1,0
COMO,14,0,0,1,0,3,9,1,0
COOPER,7,0,0,0,0,2,5,0,0
CORCORAN,15,0,0,1,0,3,9,2,0
"DIAMOND LAKE",7,0,0,1,0,3,3,0,0
"DOWNTOWN EAST",6,0,1,0,0,3,2,0,0
"DOWNTOWN WEST",200,0,3,14,9,4,168,2,0
"EAST HARRIET",3,0,0,0,0,2,1,0,0
"EAST ISLES",15,0,1,0,0,0,13,1,0
"EAST PHILLIPS",14,0,0,2,4,3,4,1,0
ECCO,15,0,0,0,0,0,15,0,0
"ELLIOT PARK",29,0,1,1,4,6,16,1,0
ERICSSON,3,0,0,0,0,1,2,0,0
FIELD,1,0,0,0,0,0,1,0,0
FOLWELL,25,0,1,4,1,8,5,6,0
FULTON,5,0,0,0,1,2,1,1,0
HALE,1,0,0,0,0,1,0,0,0
HARRISON,12,0,0,0,2,1,5,4,0
HAWTHORNE,36,0,1,5,6,6,14,3,1
HIAWATHA,9,0,0,0,0,4,5,0,0
HOLLAND,13,0,0,1,0,4,6,2,0
HOWE,11,1,0,0,1,6,2,1,0
JORDAN,36,1,2,4,6,9,12,1,1
KEEWAYDIN,2,0,0,0,0,0,2,0,0
KENNY,2,0,0,0,0,2,0,0,0
KENWOOD,3,0,0,0,0,3,0,0,0
"KING FIELD",9,0,0,0,0,3,6,0,0
"LIND - BOHANON",16,0,1,1,0,4,7,3,0
"LINDEN HILLS",5,0,0,0,0,2,3,0,0
"LOGAN PARK",9,0,1,1,0,2,5,0,0
LONGFELLOW,31,0,0,0,0,10,19,2,0
"LORING PARK",22,0,0,2,1,4,15,0,0
"LOWRY HILL",6,0,0,0,0,1,5,0,0
"LOWRY HILL EAST",18,0,0,0,0,4,14,0,0
LYNDALE,27,0,0,0,0,5,19,3,0
LYNNHURST,1,0,0,0,0,0,1,0,0
"MARCY HOLMES",28,0,1,1,0,8,16,2,0
"MARSHALL TERRACE",3,0,0,0,0,2,0,1,0
MCKINLEY,7,0,0,1,1,2,1,2,0
"MID - CITY INDUSTRIAL",6,0,0,0,0,1,4,1,0
"MIDTOWN PHILLIPS",18,0,1,1,1,4,9,2,0
MINNEHAHA,6,0,0,1,0,2,3,0,0
"MORRIS PARK",1,0,1,0,0,0,0,0,0
"NEAR - NORTH",35,0,0,1,6,6,13,9,0
"NICOLLET ISLAND - EAST BANK",6,0,0,0,0,0,6,0,0
"NORTH LOOP",12,0,0,0,0,0,12,0,0
"NORTHEAST PARK",9,0,0,2,0,0,7,0,0
NORTHROP,8,0,0,0,1,1,5,0,1
PAGE,2,0,0,0,0,0,2,0,0
"PHILLIPS WEST",14,0,0,1,0,3,9,1,0
"POWDERHORN PARK",38,0,0,4,3,8,18,5,0
"PROSPECT PARK - EAST RIVER ROAD",24,0,1,0,1,8,9,5,0
REGINA,8,0,0,1,0,2,5,0,0
SEWARD,29,0,1,2,1,10,14,1,0
SHERIDAN,6,0,0,0,0,3,3,0,0
"SHINGLE CREEK",15,0,1,0,0,10,1,3,0
"ST. ANTHONY EAST",3,0,0,0,0,0,2,1,0
"ST. ANTHONY WEST",3,0,1,0,0,0,2,0,0
STANDISH,11,0,0,0,0,6,4,1,0
"STEVENS SQUARE - LORING HEIGHTS",14,0,0,2,0,1,10,1,0
"SUMNER - GLENWOOD",4,0,0,1,0,0,3,0,0
TANGLETOWN,3,0,0,0,1,1,1,0,0
"UNIVERSITY OF MINNESOTA",3,0,0,0,0,0,3,0,0
"VENTURA VILLAGE",26,0,2,3,2,4,11,4,0
VICTORY,12,0,2,2,1,0,6,1,0
"WAITE PARK",4,0,0,1,0,1,0,2,0
"WEBBER - CAMDEN",19,0,0,3,3,4,5,4,0
WENONAH,8,0,0,0,1,2,5,0,0
"WEST CALHOUN",1,0,0,0,0,0,1,0,0
WHITTIER,51,0,0,4,3,11,30,3,0
"WILLARD - HAY",20,0,0,3,5,3,5,4,0
WINDOM,17,0,0,1,4,3,9,0,0
"WINDOM PARK",12,0,0,1,2,3,6,0,0
