NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,5,0,0,0,1,1,2,1,0
"AUDUBON PARK",11,0,0,0,2,7,1,1,0
BANCROFT,12,0,1,1,0,6,2,2,0
BELTRAMI,3,0,0,0,1,0,1,1,0
BOTTINEAU,5,0,0,0,0,2,2,1,0
BRYANT,10,0,0,2,0,2,4,2,0
"BRYN - MAWR",3,0,0,0,0,0,3,0,0
"CAMDEN INDUSTRIAL",4,0,0,1,0,1,2,0,0
CARAG,13,0,1,0,1,2,9,0,0
"CEDAR - ISLES - DEAN",6,0,0,0,0,0,6,0,0
"CEDAR RIVERSIDE",30,0,1,1,1,3,16,8,0
CENTRAL,34,0,1,3,4,11,12,3,0
CLEVELAND,15,0,0,1,6,4,4,0,0
"COLUMBIA PARK",2,0,0,0,0,1,1,0,0
COMO,13,0,0,0,2,1,9,1,0
COOPER,4,0,0,0,1,1,2,0,0
CORCORAN,27,0,1,3,1,11,11,0,0
"DIAMOND LAKE",9,0,0,1,1,3,4,0,0
"DOWNTOWN EAST",6,0,0,0,0,1,4,1,0
"DOWNTOWN WEST",227,0,3,12,10,13,185,4,0
"EAST HARRIET",4,0,0,0,0,1,3,0,0
"EAST ISLES",10,0,0,0,0,1,9,0,0
"EAST PHILLIPS",21,0,2,4,4,3,4,4,0
ECCO,18,0,0,2,0,4,11,1,0
"ELLIOT PARK",33,0,0,2,5,2,20,4,0
ERICSSON,9,0,0,0,0,3,6,0,0
FIELD,2,0,0,0,0,1,0,1,0
FOLWELL,44,0,1,7,6,18,10,2,0
FULTON,8,0,0,0,0,2,6,0,0
HALE,2,0,0,0,0,2,0,0,0
HARRISON,15,0,0,2,0,3,5,4,1
HAWTHORNE,38,0,0,6,7,3,15,7,0
HIAWATHA,16,0,0,0,0,8,8,0,0
HOLLAND,14,0,0,0,1,4,6,3,0
HOWE,9,0,0,1,1,3,4,0,0
"HUMBOLDT INDUSTRIAL AREA",1,0,0,0,1,0,0,0,0
JORDAN,56,0,0,4,11,13,23,5,0
KEEWAYDIN,6,0,0,0,0,2,4,0,0
KENNY,1,0,0,0,0,1,0,0,0
"KING FIELD",17,1,0,0,0,10,5,1,0
"LIND - BOHANON",18,0,0,2,2,6,4,4,0
"LINDEN HILLS",8,0,0,0,0,2,6,0,0
"LOGAN PARK",7,0,0,0,1,0,6,0,0
LONGFELLOW,37,0,0,0,3,7,25,1,1
"LORING PARK",30,0,0,2,4,2,21,1,0
"LOWRY HILL",3,0,0,0,0,0,3,0,0
"LOWRY HILL EAST",34,0,0,1,0,3,26,4,0
LYNDALE,22,0,0,2,1,4,11,4,0
LYNNHURST,8,0,0,0,1,5,2,0,0
"MARCY HOLMES",26,0,2,2,0,3,16,3,0
"MARSHALL TERRACE",1,0,0,0,0,1,0,0,0
MCKINLEY,13,1,1,1,1,3,5,1,0
"MID - CITY INDUSTRIAL",7,0,0,0,0,1,5,1,0
"MIDTOWN PHILLIPS",38,0,2,3,4,5,20,4,0
MINNEHAHA,9,0,1,0,0,2,6,0,0
"MORRIS PARK",1,0,0,0,0,0,0,1,0
"NEAR - NORTH",56,0,0,14,8,6,27,1,0
"NICOLLET ISLAND - EAST BANK",10,0,0,0,0,1,8,1,0
"NORTH LOOP",32,0,0,2,3,3,24,0,0
"NORTHEAST PARK",10,0,1,0,0,2,7,0,0
NORTHROP,12,0,0,2,2,2,5,1,0
PAGE,3,0,1,0,0,1,1,0,0
"PHILLIPS WEST",11,0,0,1,0,0,9,1,0
"POWDERHORN PARK",34,0,1,3,2,8,11,9,0
"PROSPECT PARK - EAST RIVER ROAD",15,0,1,1,0,3,8,2,0
REGINA,5,0,0,0,0,3,2,0,0
SEWARD,19,0,0,2,1,10,5,1,0
SHERIDAN,4,0,0,0,0,1,3,0,0
"SHINGLE CREEK",4,0,0,0,0,1,1,2,0
"ST. ANTHONY EAST",5,0,0,1,0,1,3,0,0
"ST. ANTHONY WEST",4,0,0,1,0,1,2,0,0
STANDISH,16,0,0,2,1,8,4,1,0
"STEVENS SQUARE - LORING HEIGHTS",21,0,0,1,3,0,16,1,0
"SUMNER - GLENWOOD",6,0,0,0,0,2,2,2,0
TANGLETOWN,16,0,0,0,0,7,8,1,0
"UNIVERSITY OF MINNESOTA",4,0,0,1,0,0,2,1,0
"VENTURA VILLAGE",35,0,2,7,7,4,14,1,0
VICTORY,18,0,0,1,2,8,6,1,0
"WAITE PARK",6,0,0,0,1,0,4,1,0
"WEBBER - CAMDEN",29,0,0,9,4,5,6,4,1
WENONAH,7,0,0,1,3,2,1,0,0
WHITTIER,54,0,2,5,9,7,24,7,0
"WILLARD - HAY",32,0,1,4,7,7,8,3,2
WINDOM,12,0,1,0,1,2,7,1,0
"WINDOM PARK",10,0,0,1,1,0,8,0,0
