NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,5,0,0,0,0,3,2,0,0
"AUDUBON PARK",18,0,0,1,0,7,9,1,0
BANCROFT,16,0,0,0,1,6,6,3,0
BELTRAMI,6,0,0,1,0,1,3,1,0
BOTTINEAU,15,0,1,1,0,5,8,0,0
BRYANT,9,0,0,1,0,2,3,3,0
"BRYN - MAWR",8,0,0,0,0,3,5,0,0
CARAG,41,0,0,4,2,9,24,2,0
"CEDAR - ISLES - DEAN",12,0,0,1,0,2,9,0,0
"CEDAR RIVERSIDE",30,0,0,5,2,1,18,3,1
CENTRAL,36,0,2,7,4,5,15,2,1
CLEVELAND,17,0,0,1,2,2,8,3,1
"COLUMBIA PARK",5,0,1,0,0,1,3,0,0
COMO,11,0,0,0,0,5,5,1,0
COOPER,14,0,0,0,1,4,8,1,0
CORCORAN,15,0,0,2,1,4,5,3,0
"DIAMOND LAKE",13,0,1,0,0,5,6,1,0
"DOWNTOWN EAST",27,0,1,0,2,4,19,1,0
"DOWNTOWN WEST",291,0,2,21,19,6,239,4,0
"EAST HARRIET",17,0,0,2,0,4,11,0,0
"EAST ISLES",35,0,0,0,0,8,26,1,0
"EAST PHILLIPS",42,0,0,4,6,2,26,4,0
ECCO,22,0,0,2,1,4,14,1,0
"ELLIOT PARK",50,0,2,4,4,3,35,2,0
ERICSSON,10,0,0,0,1,4,4,1,0
FIELD,3,0,0,1,0,0,2,0,0
FOLWELL,44,1,2,7,6,6,17,4,1
FULTON,22,0,0,0,0,7,12,3,0
HALE,10,0,0,2,0,2,5,1,0
HARRISON,24,0,0,4,1,5,14,0,0
HAWTHORNE,50,1,1,6,16,5,14,7,0
HIAWATHA,26,0,0,1,0,5,18,2,0
HOLLAND,14,0,0,2,0,3,8,1,0
HOWE,23,0,0,1,1,12,8,1,0
"HUMBOLDT INDUSTRIAL AREA",1,0,0,0,0,0,1,0,0
JORDAN,70,1,0,11,9,15,32,1,1
KEEWAYDIN,17,0,0,0,0,6,9,2,0
KENNY,5,0,0,0,0,2,3,0,0
KENWOOD,12,0,0,0,0,5,7,0,0
"KING FIELD",22,0,0,0,2,4,15,0,1
"LIND - BOHANON",32,0,0,8,5,3,12,2,2
"LINDEN HILLS",28,0,0,0,1,6,20,1,0
"LOGAN PARK",6,0,0,1,0,0,5,0,0
LONGFELLOW,71,0,0,8,4,10,45,4,0
"LORING PARK",46,0,1,5,2,1,36,1,0
"LOWRY HILL",14,0,1,1,0,2,10,0,0
"LOWRY HILL EAST",51,0,0,3,1,5,40,2,0
LYNDALE,61,0,0,5,5,9,37,5,0
LYNNHURST,15,0,0,0,0,6,8,1,0
"MARCY HOLMES",49,0,2,2,3,7,33,2,0
"MARSHALL TERRACE",7,0,0,0,0,2,4,1,0
MCKINLEY,35,1,2,1,8,9,11,3,0
"MID - CITY INDUSTRIAL",8,0,0,0,0,1,5,2,0
"MIDTOWN PHILLIPS",57,0,0,2,5,8,37,5,0
MINNEHAHA,10,0,0,0,0,4,5,1,0
"MORRIS PARK",7,0,0,0,1,2,3,1,0
"NEAR - NORTH",62,0,2,7,7,11,34,1,0
"NICOLLET ISLAND - EAST BANK",17,0,0,1,0,2,14,0,0
"NORTH LOOP",52,0,1,2,5,6,35,3,0
"NORTHEAST PARK",15,0,0,1,1,1,12,0,0
NORTHROP,17,0,0,0,1,5,10,1,0
PAGE,6,0,0,0,1,2,3,0,0
"PHILLIPS WEST",28,0,0,3,3,3,17,2,0
"POWDERHORN PARK",50,0,0,10,0,10,28,2,0
"PROSPECT PARK - EAST RIVER ROAD",21,0,0,0,0,2,19,0,0
REGINA,4,0,0,0,0,3,0,0,1
SEWARD,39,0,1,4,2,3,25,4,0
SHERIDAN,18,0,0,0,1,6,10,1,0
"SHINGLE CREEK",10,0,0,0,1,1,7,1,0
"ST. ANTHONY EAST",7,0,0,0,0,3,4,0,0
"ST. ANTHONY WEST",15,0,0,0,2,6,5,2,0
STANDISH,21,0,0,1,0,8,9,3,0
"STEVENS SQUARE - LORING HEIGHTS",24,0,2,2,1,2,17,0,0
"SUMNER - GLENWOOD",14,0,0,1,0,4,6,3,0
TANGLETOWN,14,0,0,0,2,2,9,1,0
"UNIVERSITY OF MINNESOTA",17,0,1,0,0,0,16,0,0
"VENTURA VILLAGE",48,0,1,11,6,4,26,0,0
VICTORY,17,0,0,1,1,3,11,1,0
"WAITE PARK",12,0,0,1,0,4,6,1,0
"WEBBER - CAMDEN",32,0,0,5,7,12,8,0,0
WENONAH,8,0,0,0,0,3,4,1,0
"WEST CALHOUN",8,0,0,0,0,1,7,0,0
WHITTIER,101,0,0,10,8,13,66,4,0
"WILLARD - HAY",46,0,0,7,9,5,22,1,2
WINDOM,13,0,0,0,2,1,9,1,0
"WINDOM PARK",15,0,0,1,1,4,7,2,0
