NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,4,0,0,0,1,2,1,0,0
"AUDUBON PARK",17,0,1,0,1,1,13,1,0
BANCROFT,20,0,0,1,0,6,9,4,0
BELTRAMI,9,0,0,1,0,3,3,2,0
BOTTINEAU,16,0,0,2,1,2,9,2,0
BRYANT,12,0,0,0,1,3,6,2,0
"BRYN - MAWR",8,0,0,0,1,2,5,0,0
"CAMDEN INDUSTRIAL",3,0,0,1,0,1,1,0,0
CARAG,34,0,0,1,1,5,24,3,0
"CEDAR - ISLES - DEAN",35,0,0,0,0,8,27,0,0
"CEDAR RIVERSIDE",28,0,0,5,3,3,16,1,0
CENTRAL,42,0,0,3,4,6,25,4,0
CLEVELAND,23,0,0,5,3,4,5,6,0
"COLUMBIA PARK",8,0,0,1,0,1,6,0,0
COMO,18,0,1,1,1,6,7,2,0
COOPER,26,0,0,0,0,8,16,2,0
CORCORAN,12,0,0,3,0,2,7,0,0
"DIAMOND LAKE",10,0,0,1,0,0,9,0,0
"DOWNTOWN EAST",13,0,0,0,0,2,11,0,0
"DOWNTOWN WEST",253,0,6,20,19,5,201,2,0
"EAST HARRIET",14,0,0,0,0,3,10,1,0
"EAST ISLES",29,0,0,0,0,10,19,0,0
"EAST PHILLIPS",50,0,1,4,3,7,33,2,0
ECCO,12,0,1,0,0,3,8,0,0
"ELLIOT PARK",54,0,2,4,4,6,38,0,0
ERICSSON,10,0,0,1,1,3,3,2,0
FIELD,10,0,0,0,0,4,6,0,0
FOLWELL,38,1,1,4,6,14,11,1,0
FULTON,7,0,0,0,0,4,3,0,0
HALE,7,0,0,0,0,5,2,0,0
HARRISON,11,0,1,1,0,4,4,1,0
HAWTHORNE,53,0,2,3,8,8,25,6,1
HIAWATHA,25,0,0,0,0,8,16,0,1
HOLLAND,21,0,0,4,0,6,6,5,0
HOWE,22,0,0,2,1,7,12,0,0
JORDAN,65,1,0,8,7,16,27,4,2
KEEWAYDIN,14,0,0,0,0,8,6,0,0
KENNY,2,0,0,0,0,1,1,0,0
KENWOOD,21,0,0,1,0,7,13,0,0
"KING FIELD",27,0,0,0,1,8,15,3,0
"LIND - BOHANON",30,1,0,2,7,5,13,2,0
"LINDEN HILLS",12,0,0,0,0,4,8,0,0
"LOGAN PARK",8,0,0,0,0,4,4,0,0
LONGFELLOW,50,0,1,3,2,6,36,2,0
"LORING PARK",57,0,1,3,5,7,41,0,0
"LOWRY HILL",12,0,0,0,2,4,4,2,0
"LOWRY HILL EAST",62,0,0,3,1,6,51,1,0
LYNDALE,50,0,0,5,6,3,34,1,1
LYNNHURST,19,0,0,0,0,10,8,1,0
"MARCY HOLMES",33,0,0,0,1,10,21,1,0
"MARSHALL TERRACE",1,0,0,0,0,0,1,0,0
MCKINLEY,25,0,1,1,7,7,6,3,0
"MID - CITY INDUSTRIAL",7,0,0,0,0,3,2,2,0
"MIDTOWN PHILLIPS",53,0,1,6,4,2,32,5,3
MINNEHAHA,8,0,0,0,0,2,5,1,0
"MORRIS PARK",6,0,0,0,0,1,4,1,0
"NEAR - NORTH",77,0,0,9,7,12,47,2,0
"NICOLLET ISLAND - EAST BANK",10,0,0,0,0,0,10,0,0
"NORTH LOOP",36,0,2,2,1,1,28,2,0
"NORTHEAST PARK",16,0,0,0,0,4,12,0,0
NORTHROP,23,0,0,0,1,9,11,2,0
PAGE,4,0,0,0,0,0,4,0,0
"PHILLIPS WEST",25,0,2,4,1,3,11,4,0
"POWDERHORN PARK",56,0,0,4,2,10,39,1,0
"PROSPECT PARK - EAST RIVER ROAD",20,0,0,0,1,5,12,1,1
REGINA,9,0,0,0,1,5,2,1,0
SEWARD,51,0,1,5,2,14,27,1,1
SHERIDAN,15,0,1,1,0,6,6,1,0
"SHINGLE CREEK",9,0,0,0,0,3,5,1,0
"ST. ANTHONY EAST",8,0,0,1,0,4,3,0,0
"ST. ANTHONY WEST",8,0,0,0,0,1,6,1,0
STANDISH,21,0,1,1,0,3,13,3,0
"STEVENS SQUARE - LORING HEIGHTS",27,0,0,3,2,4,18,0,0
"SUMNER - GLENWOOD",14,0,0,2,1,2,8,1,0
TANGLETOWN,10,0,0,0,0,1,9,0,0
"UNIVERSITY OF MINNESOTA",8,0,0,0,0,1,7,0,0
"VENTURA VILLAGE",66,0,3,8,12,5,36,2,0
VICTORY,20,0,0,1,1,5,12,1,0
"WAITE PARK",17,0,0,2,2,4,8,1,0
"WEBBER - CAMDEN",35,0,0,3,8,8,11,3,2
WENONAH,16,0,1,1,2,6,5,1,0
"WEST CALHOUN",12,0,0,1,1,1,9,0,0
WHITTIER,90,0,1,11,3,11,61,3,0
"WILLARD - HAY",47,1,3,0,10,11,21,0,1
WINDOM,11,0,0,0,1,2,8,0,0
"WINDOM PARK",21,0,0,2,4,4,10,1,0
