NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,4,0,0,0,0,0,4,0,0
"AUDUBON PARK",24,0,0,2,0,7,12,3,0
BANCROFT,7,0,0,0,0,2,5,0,0
BELTRAMI,5,0,0,0,1,2,2,0,0
BOTTINEAU,11,0,0,1,0,4,6,0,0
BRYANT,12,0,0,2,0,3,7,0,0
"BRYN - MAWR",12,0,0,0,0,5,7,0,0
"CAMDEN INDUSTRIAL",3,0,0,0,0,1,2,0,0
CARAG,23,0,0,3,0,8,12,0,0
"CEDAR - ISLES - DEAN",15,0,0,0,1,4,9,1,0
"CEDAR RIVERSIDE",34,0,0,6,3,4,17,4,0
CENTRAL,32,0,1,4,5,7,13,1,1
CLEVELAND,16,0,0,0,4,7,5,0,0
"COLUMBIA PARK",6,0,0,0,0,3,3,0,0
COMO,16,0,1,0,0,2,11,2,0
COOPER,7,0,0,0,0,3,4,0,0
CORCORAN,19,0,0,3,1,1,12,2,0
"DIAMOND LAKE",14,0,0,1,1,2,9,1,0
"DOWNTOWN EAST",12,0,1,0,1,1,9,0,0
"DOWNTOWN WEST",234,0,3,14,21,1,191,4,0
"EAST HARRIET",9,0,1,0,0,2,6,0,0
"EAST ISLES",30,0,0,2,2,3,19,4,0
"EAST PHILLIPS",38,0,0,6,7,5,18,2,0
ECCO,14,0,0,0,0,6,8,0,0
"ELLIOT PARK",61,0,2,4,2,3,43,7,0
ERICSSON,8,0,0,0,0,5,2,1,0
FIELD,3,0,0,0,1,1,1,0,0
FOLWELL,39,0,3,5,4,15,10,2,0
FULTON,7,0,0,0,0,5,2,0,0
HALE,4,0,0,0,0,1,3,0,0
HARRISON,28,0,0,0,6,10,10,1,1
HAWTHORNE,56,0,0,6,13,9,22,5,1
HIAWATHA,18,0,1,1,0,2,14,0,0
HOLLAND,20,0,0,2,3,2,13,0,0
HOWE,17,0,0,0,1,10,5,1,0
"HUMBOLDT INDUSTRIAL AREA",1,0,0,0,0,0,1,0,0
JORDAN,84,1,3,11,14,22,32,0,1
KEEWAYDIN,9,0,0,0,0,4,3,1,1
KENNY,2,0,0,0,0,1,0,1,0
KENWOOD,7,0,0,0,0,3,3,1,0
"KING FIELD",16,0,0,1,2,5,8,0,0
"LIND - BOHANON",22,0,2,0,5,3,5,7,0
"LINDEN HILLS",12,0,0,0,0,4,8,0,0
"LOGAN PARK",10,0,0,0,0,1,8,1,0
LONGFELLOW,49,0,2,2,4,10,30,1,0
"LORING PARK",43,0,0,4,7,0,26,6,0
"LOWRY HILL",14,0,0,1,0,3,10,0,0
"LOWRY HILL EAST",45,0,0,1,0,7,36,1,0
LYNDALE,36,0,0,2,3,6,25,0,0
LYNNHURST,11,0,0,0,0,6,5,0,0
"MARCY HOLMES",49,0,1,5,1,9,27,6,0
"MARSHALL TERRACE",4,0,0,0,0,1,2,1,0
MCKINLEY,32,0,1,1,5,9,10,3,3
"MID - CITY INDUSTRIAL",4,0,0,0,0,1,3,0,0
"MIDTOWN PHILLIPS",40,0,3,0,3,6,28,0,0
MINNEHAHA,7,0,0,0,0,1,5,1,0
"MORRIS PARK",7,0,0,1,0,3,3,0,0
"NEAR - NORTH",89,0,0,6,10,20,47,4,2
"NICOLLET ISLAND - EAST BANK",7,0,0,1,0,2,4,0,0
"NORTH LOOP",39,0,0,1,1,1,35,1,0
"NORTHEAST PARK",15,0,0,0,2,0,12,1,0
NORTHROP,14,0,0,1,1,3,9,0,0
PAGE,1,0,0,0,0,1,0,0,0
"PHILLIPS WEST",21,0,0,2,2,3,12,2,0
"POWDERHORN PARK",44,0,3,6,3,4,27,1,0
"PROSPECT PARK - EAST RIVER ROAD",16,0,0,1,0,3,11,1,0
REGINA,10,0,0,3,0,4,3,0,0
SEWARD,41,0,0,1,6,14,20,0,0
SHERIDAN,24,0,0,0,0,14,8,2,0
"SHINGLE CREEK",8,0,0,1,1,2,4,0,0
"ST. ANTHONY EAST",9,0,0,1,0,5,2,1,0
"ST. ANTHONY WEST",4,0,0,0,0,1,2,1,0
STANDISH,22,0,1,4,0,11,6,0,0
"STEVENS SQUARE - LORING HEIGHTS",18,0,0,1,2,1,12,2,0
"SUMNER - GLENWOOD",5,0,0,0,0,1,3,1,0
TANGLETOWN,10,0,0,0,0,2,7,1,0
"UNIVERSITY OF MINNESOTA",8,0,0,0,1,0,6,1,0
"VENTURA VILLAGE",37,0,0,6,3,2,22,2,2
VICTORY,9,0,0,0,0,2,6,0,1
"WAITE PARK",11,0,0,0,0,10,1,0,0
"WEBBER - CAMDEN",37,0,1,3,7,11,14,1,0
WENONAH,10,0,0,0,0,0,9,0,1
"WEST CALHOUN",12,0,0,0,0,4,8,0,0
WHITTIER,93,0,1,6,8,11,57,10,0
"WILLARD - HAY",55,0,0,11,8,11,16,9,0
WINDOM,15,0,0,0,2,4,7,2,0
"WINDOM PARK",22,0,0,0,5,8,8,1,0
