NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,8,0,1,0,0,2,5,0,0
"AUDUBON PARK",12,0,0,1,0,3,8,0,0
BANCROFT,8,0,0,1,0,1,5,1,0
BELTRAMI,4,0,0,0,0,0,4,0,0
BOTTINEAU,11,0,0,1,0,2,8,0,0
BRYANT,13,0,0,2,0,6,3,2,0
"BRYN - MAWR",7,0,0,0,0,3,4,0,0
"CAMDEN INDUSTRIAL",1,0,0,0,0,0,1,0,0
CARAG,25,0,0,0,1,9,14,1,0
"CEDAR - ISLES - DEAN",14,0,0,0,0,7,6,1,0
"CEDAR RIVERSIDE",39,0,0,4,2,3,26,3,1
CENTRAL,24,0,0,3,2,3,14,2,0
CLEVELAND,15,0,0,2,0,6,4,3,0
"COLUMBIA PARK",7,0,0,0,0,4,2,1,0
COMO,19,0,1,2,0,5,9,2,0
COOPER,12,0,0,0,0,4,8,0,0
CORCORAN,18,0,0,1,0,2,13,1,1
"DIAMOND LAKE",12,0,0,0,1,5,6,0,0
"DOWNTOWN EAST",9,0,0,0,1,0,8,0,0
"DOWNTOWN WEST",261,0,5,20,17,6,201,12,0
"EAST HARRIET",17,0,0,0,0,6,10,1,0
"EAST ISLES",20,0,0,1,0,3,13,3,0
"EAST PHILLIPS",33,1,0,11,1,5,14,1,0
ECCO,15,0,0,0,0,4,10,1,0
"ELLIOT PARK",32,0,0,2,3,0,20,7,0
ERICSSON,19,0,0,0,1,5,7,6,0
FIELD,5,0,0,0,0,1,4,0,0
FOLWELL,39,0,0,3,12,9,12,2,1
FULTON,9,0,0,0,0,1,7,1,0
HALE,5,0,0,0,0,2,3,0,0
HARRISON,16,0,1,0,3,5,6,1,0
HAWTHORNE,41,0,2,2,15,8,13,1,0
HIAWATHA,17,0,1,2,1,2,11,0,0
HOLLAND,22,1,1,4,0,5,7,4,0
HOWE,16,0,1,1,0,5,8,1,0
JORDAN,64,2,2,9,9,13,22,6,1
KEEWAYDIN,15,0,0,1,1,2,11,0,0
KENNY,7,0,0,0,0,4,3,0,0
KENWOOD,2,0,0,0,0,1,1,0,0
"KING FIELD",26,0,0,0,2,4,16,4,0
"LIND - BOHANON",19,0,0,3,1,8,4,1,2
"LINDEN HILLS",13,0,0,2,0,2,8,1,0
"LOGAN PARK",13,0,0,1,1,4,7,0,0
LONGFELLOW,64,0,0,5,5,6,45,3,0
"LORING PARK",60,0,0,3,3,10,40,4,0
"LOWRY HILL",23,0,0,2,0,4,12,4,1
"LOWRY HILL EAST",71,0,0,3,1,14,47,6,0
LYNDALE,34,0,0,3,1,1,28,1,0
LYNNHURST,6,0,0,1,0,3,2,0,0
"MARCY HOLMES",69,0,4,4,2,11,40,8,0
"MARSHALL TERRACE",12,0,1,1,1,3,4,2,0
MCKINLEY,19,0,1,3,4,4,5,1,1
"MID - CITY INDUSTRIAL",3,0,0,0,0,0,3,0,0
"MIDTOWN PHILLIPS",39,0,0,8,3,5,19,4,0
MINNEHAHA,12,0,0,1,1,2,8,0,0
"MORRIS PARK",6,0,0,1,0,1,2,2,0
"NEAR - NORTH",61,0,2,8,4,5,37,5,0
"NICOLLET ISLAND - EAST BANK",14,0,1,0,1,1,11,0,0
"NORTH LOOP",38,0,0,3,0,2,32,1,0
"NORTHEAST PARK",11,0,1,0,0,1,6,2,1
NORTHROP,9,0,1,0,0,2,5,1,0
PAGE,4,0,0,0,0,2,1,1,0
"PHILLIPS WEST",23,0,1,4,2,1,14,1,0
"POWDERHORN PARK",45,0,0,8,3,4,26,4,0
"PROSPECT PARK - EAST RIVER ROAD",35,0,1,0,0,6,26,2,0
REGINA,7,0,0,0,0,2,5,0,0
SEWARD,46,0,2,2,2,19,18,2,1
SHERIDAN,9,0,1,1,0,3,3,1,0
"SHINGLE CREEK",13,0,0,0,1,4,3,5,0
"ST. ANTHONY EAST",1,0,0,0,0,0,1,0,0
"ST. ANTHONY WEST",7,0,0,1,0,1,5,0,0
STANDISH,34,0,0,0,3,8,20,3,0
"STEVENS SQUARE - LORING HEIGHTS",22,0,0,2,1,3,15,1,0
"SUMNER - GLENWOOD",5,0,0,1,1,2,1,0,0
TANGLETOWN,26,0,0,0,0,6,19,1,0
"UNIVERSITY OF MINNESOTA",8,0,0,0,0,1,6,1,0
"VENTURA VILLAGE",42,0,0,12,3,4,18,5,0
VICTORY,17,0,0,1,1,7,4,4,0
"WAITE PARK",10,0,0,0,1,3,6,0,0
"WEBBER - CAMDEN",29,0,1,3,3,10,8,3,1
WENONAH,20,0,0,1,2,6,10,1,0
"WEST CALHOUN",8,0,0,0,0,2,6,0,0
WHITTIER,77,0,0,7,6,9,48,7,0
"WILLARD - HAY",43,0,0,7,5,7,15,5,4
WINDOM,19,0,0,1,0,6,11,1,0
"WINDOM PARK",11,0,0,0,0,2,9,0,0
