NEIGHBORHOOD,Total,Homicide,Rape,Robbery,AggAssault,Burglary,Larceny,AutoTheft,Arson
ARMATAGE,51,0,1,1,3,18,26,2,0
"AUDUBON PARK",144,0,2,9,6,46,69,12,0
BANCROFT,106,0,1,5,3,41,40,15,1
BELTRAMI,56,0,0,2,2,15,28,9,0
BOTTINEAU,86,0,1,5,1,21,52,5,1
BRYANT,87,0,2,10,6,26,32,11,0
"BRYN - MAWR",77,0,0,1,2,23,46,5,0
"CAMDEN INDUSTRIAL",17,0,0,4,0,4,9,0,0
CARAG,243,0,2,17,6,56,153,9,0
"CEDAR - ISLES - DEAN",124,0,0,3,3,28,88,2,0
"CEDAR RIVERSIDE",276,0,6,38,23,22,155,30,2
CENTRAL,296,0,6,39,33,44,149,22,3
CLEVELAND,147,0,1,21,22,31,49,22,1
"COLUMBIA PARK",45,0,1,1,1,16,23,3,0
COMO,137,0,4,5,4,35,75,14,0
COOPER,93,0,0,2,3,29,55,4,0
CORCORAN,190,0,3,26,9,36,105,10,1
"DIAMOND LAKE",103,0,1,4,4,31,58,5,0
"DOWNTOWN EAST",107,0,3,0,6,16,80,2,0
"DOWNTOWN WEST",2309,0,35,151,136,57,1884,46,0
"EAST HARRIET",95,0,1,2,0,28,62,2,0
"EAST ISLES",191,0,1,5,4,35,134,11,1
"EAST PHILLIPS",317,2,4,64,35,48,144,20,0
ECCO,159,0,1,5,1,41,107,4,0
"ELLIOT PARK",380,1,9,29,39,32,237,33,0
ERICSSON,97,0,1,2,5,28,48,13,0
FIELD,60,0,0,3,2,30,24,1,0
FOLWELL,351,2,10,50,60,90,105,30,4
FULTON,90,0,0,1,2,30,51,6,0
HALE,45,0,0,2,0,23,17,3,0
HARRISON,169,0,4,10,21,49,61,19,5
HAWTHORNE,417,1,7,42,85,63,164,49,6
HIAWATHA,176,0,2,7,1,45,115,4,2
HOLLAND,169,1,3,15,12,32,84,22,0
HOWE,157,2,1,5,7,68,65,8,1
"HUMBOLDT INDUSTRIAL AREA",5,0,0,0,1,0,3,1,0
JORDAN,581,7,11,75,90,117,237,36,8
KEEWAYDIN,92,0,0,2,1,24,59,4,2
KENNY,30,0,0,0,1,15,13,1,0
KENWOOD,61,0,0,1,0,26,33,1,0
"KING FIELD",165,1,0,3,11,56,81,12,1
"LIND - BOHANON",221,1,6,22,32,45,83,28,4
"LINDEN HILLS",116,0,1,2,1,31,77,4,0
"LOGAN PARK",73,0,2,5,3,13,48,2,0
LONGFELLOW,455,2,6,27,23,67,309,20,1
"LORING PARK",403,0,6,32,29,38,278,20,0
"LOWRY HILL",111,0,1,4,2,23,72,8,1
"LOWRY HILL EAST",414,0,1,16,7,55,313,22,0
LYNDALE,333,0,4,32,24,41,205,26,1
LYNNHURST,75,0,0,2,1,36,34,2,0
"MARCY HOLMES",368,0,14,15,10,59,234,36,0
"MARSHALL TERRACE",53,0,1,1,3,11,27,10,0
MCKINLEY,199,2,6,15,30,57,63,22,4
"MID - CITY INDUSTRIAL",56,0,0,0,2,11,33,10,0
"MIDTOWN PHILLIPS",361,0,11,39,27,42,209,29,4
MINNEHAHA,102,0,1,6,2,22,63,8,0
"MORRIS PARK",40,0,2,2,4,10,16,6,0
"NEAR - NORTH",582,1,13,65,71,83,306,40,3
"NICOLLET ISLAND - EAST BANK",105,0,1,4,1,7,87,5,0
"NORTH LOOP",326,1,3,17,20,17,252,16,0
"NORTHEAST PARK",112,0,2,4,4,12,83,6,1
NORTHROP,115,0,3,3,9,37,56,6,1
PAGE,35,0,1,0,1,13,19,1,0
"PHILLIPS WEST",220,0,3,29,16,21,127,23,1
"POWDERHORN PARK",432,0,10,71,29,69,219,34,0
"PROSPECT PARK - EAST RIVER ROAD",208,0,3,6,4,39,129,26,1
REGINA,66,0,1,5,1,27,29,2,1
SEWARD,354,0,7,31,20,99,177,18,2
SHERIDAN,95,0,2,3,3,39,42,6,0
"SHINGLE CREEK",82,0,1,3,4,28,31,14,1
"ST. ANTHONY EAST",50,0,0,4,0,16,27,3,0
"ST. ANTHONY WEST",65,0,2,6,2,21,30,4,0
STANDISH,185,0,3,10,5,71,76,20,0
"STEVENS SQUARE - LORING HEIGHTS",188,1,5,16,17,18,123,8,0
"SUMNER - GLENWOOD",65,0,0,7,6,13,29,10,0
TANGLETOWN,122,0,0,3,9,30,76,4,0
"UNIVERSITY OF MINNESOTA",74,0,1,2,2,5,59,5,0
"VENTURA VILLAGE",388,0,11,84,36,43,184,27,3
VICTORY,134,0,3,6,9,41,62,12,1
"WAITE PARK",91,0,0,6,5,31,41,8,0
"WEBBER - CAMDEN",290,0,3,42,50,85,83,23,4
WENONAH,104,0,4,7,12,24,52,4,1
"WEST CALHOUN",59,0,0,1,1,11,45,1,0
WHITTIER,702,1,12,66,53,90,430,47,3
"WILLARD - HAY",385,1,9,51,75,71,128,41,9
WINDOM,141,0,2,3,14,31,83,8,0
"WINDOM PARK",126,0,1,6,14,31,68,6,0
